threshold,n_retained,n_deferred,coverage,pooled_error_rate,patients_with_retained_cells,mean_patient_error_among_retained_patients,retained_true_icaf,deferred_true_icaf
0,842,0,1,0.062945368171021296,10,0.078090862988627996,37,0
0.5,842,0,1,0.062945368171021296,10,0.078090862988627996,37,0
0.59999999999999998,802,40,0.95249406175771956,0.048628428927680802,10,0.061851215063989197,32,5
0.69999999999999996,773,69,0.91805225653206635,0.042690815006468298,10,0.0567454453177344,32,5
0.80000000000000004,724,118,0.85985748218527314,0.027624309392265199,10,0.020810550956581301,27,10
0.90000000000000002,636,206,0.75534441805225649,0.0251572327044025,10,0.020731755792497999,20,17
0.94999999999999996,580,262,0.6888361045130641,0.018965517241379199,10,0.012504482070953201,17,20
