permutation,score,elapsed_seconds,n_fits,fit_convergence_issues,warnings,labels_sha256
44,0.34613523191256951,95.225258286000098,370,0,0,fd7903ad5cb555ed0744f3298f46770682b68a67cef24c91e864ecbaf3a8c369
45,0.4135421746478683,97.758280353000359,370,0,0,e427d59dff3f8d4e81e388787754dc5757c09ad06e1b1cecaf42cf85bc2169c9
46,0.340354411710791,95.792512077001433,370,0,0,ce94598513c9bddb73669a8c315426a4d7898fd2a3e00d2f3af7eeaf9813abbb
47,0.44674932028568332,95.613428245000236,370,0,0,72d67ae2248d883084e01e79d7a3102fba344246459a3aa92f642bc473f3831b
48,0.39966535806117359,93.700072085999636,370,0,0,5c0b4b44170cc7a7735d3a13be6d2b979cedca245a8f08ff3b2d8045978f4ff9
49,0.35310884204064552,94.213420612999485,370,0,0,10a3aa84108caf5e3fabed4f760dacb72271dc05b6c88fd8c7713df2a9e55e4b
50,0.4062923276512948,95.367521218000562,370,0,0,775133e308573365c6da4fe2e359d324959c212463d66b1d9bd1d1cf7e2efd92
51,0.40571017140402948,93.587741917999679,370,0,0,9397c3ebf3f4ab518172fac02e9d440b73f951df20c51a8677f85f676412add5
52,0.41726062106197148,94.224130481999964,370,0,0,e90e6708d5390a3a7a2877a85f67bdf0bd2d5ebfd2da043c5c5c198dbddad225
53,0.46077974347404071,94.953256188999163,370,0,0,d02e6f5edd378b8a4df17a756e0239bc059f8699700e62412a08354aea0feef7
54,0.41137224934376848,93.56403285299892,370,0,0,e75951424d38e2941c885214ccd73e219334c0999253794f03c60cb14d82bf72
55,0.39178991123832141,90.68874894999864,370,0,0,af34fc6066c8ac6d10de3a55aa080c2f6c0567c2f17b6c905a2f63276fa49e42
56,0.4287930514284623,87.569188426001347,370,0,0,08134e142275cd64987981543a6c4acb0a84150d862e1b3616a511981e8a9f2a
57,0.34347254795929028,84.695090146000439,370,0,0,7f5c2ffbe149b4677924b9298b7dcc790cadc589e7c239a2a16abcedba06c09a
58,0.34102227013194292,86.719818470000973,370,0,0,eda21eac2aab56557ee7b3ecf3c4efd3795d36c554f30fdf08290e2f08373cf6
59,0.40037629852810241,84.565953758999967,370,0,0,ce5b9d45eb29e5040435d9c80d8a24ed01a6e8d102018b6ca308020a49cc13c3
60,0.40391019126868211,86.185971902999881,370,0,0,e16bb966b7f46e73420593f002226bedf7413457b2ede5c1e3451ca82140dd4a
61,0.41881758393230317,85.636701023999194,370,0,0,6f3bd4234ad6d5f3286a089d62dbb6ca08dbdb1b5633eec4e61a5d7318d578da
62,0.39997632601955901,90.324099752999246,370,0,0,c683fd33bdb6f6d6a58322b98e391b3ff711ef9124ee090d665581a996f59a26
63,0.41103338628042518,89.748356190999402,370,0,0,c28633d0f908969914b84cb8f6caac10dbb5eb7f59d58b2797c83e841be59e47
64,0.41635597930423168,89.825982168998962,370,0,0,f47c1238476dd1566791c7ebd13f2973415705aa36803312d9178a8718d316ad
65,0.43759515100758678,89.094458550998752,370,0,0,9c4fe0ff4d468e999bfd0922e56b4fbc792e3002231153dc8e1e47d09bd1e427
66,0.40112962439474631,89.026380704000985,370,0,0,ce7b87ac7a0f6dd416a1824bd4c668c3abd2a3ed3142cfb325c1a3cab1099b9c
67,0.4052408551988661,86.932315703999848,370,0,0,5b45e04eb4a52d6f1d682525ee67f7b8e52521cb5feb8265cfa127c1dc7cb968
